dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Communities and Crime,extratrees,rfe,0.5,1895185671865.7568,0.01836158290640448,2215167678990.845,893930579302.9329,0.1351160997308881,0.8653683602000501,1.1092049936799595,0.08929601492001435,2.0642400289200213
Communities and Crime,extratrees,rfe,0.75,1967932158228.5957,0.018122177844979857,2253662140882.1816,1142873272273.1138,0.13421268051431143,0.8653683602000501,1.418871819319952,0.10233861668003097,2.386936858900008
Communities and Crime,extratrees,rfe,1.0,1972006105399.058,0.018210769168678347,2251735824265.0894,1113452772194.8137,0.13456629925736613,0.0,1.910637714359982,0.10247548408001872,2.0134757618599632
Communities and Crime,extratrees,shap,0.05,1983830767221.2751,0.0221030459300257,719709551971.1722,1862929570033.859,0.14865375064918532,6.082945892750104,0.5925875057500889,0.1382115397500456,6.813995113501733
Communities and Crime,extratrees,shap,0.15,2030584358037.4863,0.019335604162382926,657026915152.6057,2055734140913.8623,0.13903534341674983,6.082945892750104,0.5570968290003293,0.14113679024922016,6.781430876750164
Communities and Crime,extratrees,shap,0.25,1996761985189.9326,0.018459507772437142,2349506158040.975,1100787812689.975,0.13541255774520677,9.964367836099973,0.7336081107600012,0.07999114053995067,10.778352175060018
Communities and Crime,extratrees,shap,0.5,1937023659780.9438,0.018188785612129346,2244661419454.814,1160978195398.2495,0.13445108416484838,9.964367836099973,0.9969864612600532,0.08173133092001075,11.04345383493992
Communities and Crime,extratrees,shap,0.75,2001896201920.9094,0.018070553572066536,2291599882341.9863,1142307493425.443,0.13400264099864415,9.964367836099973,1.3527260524600297,0.08568659392002241,11.403154902899987
Communities and Crime,extratrees,shap,1.0,1972006105399.058,0.018210769168678347,2251735824265.0894,1113452772194.8137,0.13456629925736613,0.0,1.910637714359982,0.10247548408001872,2.0134757618599632
Communities and Crime,extratrees,tree,0.05,1908797645038.361,0.022734333595548148,821487169581.4391,1978286315755.0122,0.15075512374051273,1.6237090542490478,0.47928123174915527,0.11743795700022014,2.220672337249198
Communities and Crime,extratrees,tree,0.15,1908490095532.6213,0.0185530070691007,682056113892.6628,1915384986957.4333,0.13617497830212544,1.6237090542490478,0.7384966052504751,0.12555601649910386,2.487982948749959
Communities and Crime,extratrees,tree,0.25,2091203940400.88,0.01799127566179392,2401608897362.4346,1219462754880.937,0.13368856011966232,2.03437115207998,0.8015172540200274,0.08856442378003063,2.9248224129798883
Communities and Crime,extratrees,tree,0.5,1958577797072.9275,0.018081849384876846,2217502700950.3047,1196056483953.1133,0.13404299946896533,2.03437115207998,1.1036351160799223,0.08625037244002665,3.224626542739975
Communities and Crime,extratrees,tree,0.75,1951973573739.9656,0.01806889518805775,2244547092505.368,1133255031862.9019,0.13402126479531648,2.03437115207998,1.4014067015999898,0.08970418827991575,3.52585605729997
Communities and Crime,extratrees,tree,1.0,1972006105399.058,0.018210769168678347,2251735824265.0894,1113452772194.8137,0.13456629925736613,0.0,1.910637714359982,0.10247548408001872,2.0134757618599632
Communities and Crime,ridge,mi,0.05,1669808973188.4373,0.020538791931234875,412165127225.05597,1676581089382.0862,0.1433070990292301,0.6912195392496869,0.0008342617502421,8.396850080316653e-05,0.6921703235011591
Communities and Crime,ridge,mi,0.15,1356428326408.2908,0.01997974272439815,297292552452.80566,1299381898250.5813,0.14134001940430607,0.6912195392496869,0.0036093157505092247,7.493425073334947e-05,0.6949105217490796
Communities and Crime,ridge,mi,0.25,1493650651385.4856,0.019121033080794034,2022702924921.959,456047607377.96643,0.13784667339689932,2.0664819866599964,0.001610427520035902,8.358969998425612e-05,2.0681914913800754
Communities and Crime,ridge,mi,0.5,1527622623544.5713,0.019186987729125148,2064293604635.439,446462117723.2139,0.13810643741333872,2.0664819866599964,0.003473095380031688,0.0003137903599781447,2.0702791206200026
Communities and Crime,ridge,mi,0.75,1843482670181.122,0.018760560383529763,2084045839844.0317,915178074489.3873,0.13658996473698792,2.0664819866599964,0.00562176166001786,0.00011925521996542604,2.072231595100011
Communities and Crime,ridge,mi,1.0,1969071267102.593,0.01857845232817685,2173799618019.036,1084546038028.6748,0.13593818708589514,0.0,0.13934023026004067,0.00017048134002829,0.13951979198004205
Communities and Crime,ridge,rfe,0.05,1668753937224.152,0.0218649141111504,378106550954.2731,1589973393386.3188,0.14782654587819766,0.6370995167508227,0.00070158349990375,7.920224925328512e-05,0.6378902457508957
Communities and Crime,ridge,rfe,0.15,1428053312783.938,0.02009975831795565,665636271330.0026,1412648487365.7617,0.14175081351257238,0.6370995167508227,0.004349843000454675,8.380600047530606e-05,0.6415383225003097
Communities and Crime,ridge,rfe,0.25,1645945921959.458,0.018951648570377712,1978481225999.475,801142551844.2076,0.13729044750732422,1.0744858859600164,0.00124430129999377,8.375016001536942e-05,1.075828673220003
Communities and Crime,ridge,rfe,0.5,1933772794966.9053,0.018676355651193032,2202515915128.2383,908819513520.4731,0.1362911393186024,1.0744858859600164,0.004627981340049648,0.00041728506002526084,1.0795401517999517
Communities and Crime,ridge,rfe,0.75,1983276918140.222,0.01864037510552814,2275081270522.9146,1030925161420.8257,0.13615331946468454,1.0744858859600164,0.004887052060048468,0.00010904137993745719,1.0794907649399874
Communities and Crime,ridge,rfe,1.0,1969071267102.593,0.01857845232817685,2173799618019.036,1084546038028.6748,0.13593818708589514,0.0,0.13934023026004067,0.00017048134002829,0.13951979198004205
Communities and Crime,ridge,shap,0.05,2466485467116.4805,0.026862553319401575,937584344970.0477,2486088734281.1665,0.16350017972237865,0.10006735274873785,0.000692203251674,7.314800041058334e-05,0.1008428659979472
Communities and Crime,ridge,shap,0.15,1483524604544.855,0.020962525262594275,224478980397.84146,1476964727702.345,0.14477674085861536,0.10006735274873785,0.0033258204994126247,7.574325081805e-05,0.10347426874886873
Communities and Crime,ridge,shap,0.25,1494610249011.8118,0.01997523093371452,1849671350132.093,434246433466.4098,0.14092391900254234,0.15716646503991338,0.001221942159954734,8.20625000460479e-05,0.1584853731798921
