dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Bike Sharing,ridge,mi,0.5,7,42,3.256377440377875,19410.822116894116,139.32272649102913,5.824839916999963,0.0191341019999526,0.0001365980001537,5.844117650000044
Bike Sharing,ridge,mi,0.75,7,42,3.265933149623688,19354.56001663783,139.12066710822597,5.824839916999963,0.0011959480000314,0.0001134339997861,5.826159467999787
Bike Sharing,ridge,mi,1.0,7,42,3.277566489909835,19269.266423654,138.81378326252042,0.0,0.0256348540001454,0.0001108589999603,0.0257536189999427
Bike Sharing,ridge,rfe,0.25,7,42,3.3595946760562323,21855.48484796244,147.83600660178303,0.2022089760000653,0.0010450930001297,8.552199983569153e-05,0.2033569130001069
Bike Sharing,ridge,rfe,0.5,7,42,3.27260703166733,19408.04371028705,139.31275501649893,0.2022089760000653,0.0008600539999861,7.677500002500892e-05,0.2031507330000295
Bike Sharing,ridge,rfe,0.75,7,42,3.27051311904444,19298.464429464795,138.9189131452762,0.2022089760000653,0.0011387189999823,8.789599996816833e-05,0.2034489559998746
Bike Sharing,ridge,rfe,1.0,7,42,3.277566489909835,19269.266423654,138.81378326252042,0.0,0.0256348540001454,0.0001108589999603,0.0257536189999427
Bike Sharing,ridge,tree,0.25,7,42,3.302400349394,23601.77095894034,153.6286788296389,4.857326340999862,0.0010169399999995,8.882799988896295e-05,4.858444902999736
Bike Sharing,ridge,tree,0.5,7,42,3.1434254799704573,20174.55706786027,142.0371679098829,4.857326340999862,0.0090610960000958,0.0001259679997929,4.866519855999741
Bike Sharing,ridge,tree,0.75,7,42,3.281961566850592,19357.067759916197,139.12967965145393,4.857326340999862,0.000970671999994,7.290700000339712e-05,4.858377495000013
Bike Sharing,ridge,tree,1.0,7,42,3.277566489909835,19269.266423654,138.81378326252042,0.0,0.0256348540001454,0.0001108589999603,0.0257536189999427
Bike Sharing,ridge,shap,0.25,7,42,3.359594676056232,21855.48484796244,147.83600660178303,0.019230713999832,0.0009514860000763,7.64540000091074e-05,0.0202705869999135
Bike Sharing,ridge,shap,0.5,7,42,3.244132758626822,19447.170611796497,139.45311259271517,0.019230713999832,0.0010073210000882,0.0001086950001081,0.020358392999924
Bike Sharing,ridge,shap,0.75,7,42,3.27326059204608,19330.789866270054,139.03521088655944,0.019230713999832,0.012388607000048,0.0001045770000018,0.0317309819997717
Bike Sharing,ridge,shap,1.0,7,42,3.277566489909835,19269.266423654,138.81378326252042,0.0,0.0256348540001454,0.0001108589999603,0.0257536189999427
Bike Sharing,ridge,mi,0.25,8,42,2.725849798562317,24239.173449517257,155.68934918457737,4.070772827999917,0.0009417379999376,7.68950001202029e-05,4.0718051270000615
