dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Communities and Crime,ridge,shap,0.75,1841222509660.715,0.018860126662724155,1969381962467.3713,1366743076017.871,0.13698354112614738,0.024122543202247427,0.0920995975960977,0.00021873843972566203,0.11645759356091727
Communities and Crime,ridge,shap,1.0,1993263284799.495,0.018591323590276702,2129085549594.5393,1196558656699.7969,0.1361797249010291,0.0,0.09941027010558169,0.00024516407749610965,0.09966900106170211
Communities and Crime,ridge,tree,0.25,1368570819980.4216,0.019084344816482243,1739938260977.2559,611744953281.9822,0.13771496466587774,2.08861492006341,0.001341027242597144,0.0001185866189188914,2.0900930239201987
Communities and Crime,ridge,tree,0.5,1517241767405.471,0.01888144482003135,1830217981387.7537,885280285830.4641,0.13709014197886654,1.9706738020433112,0.001643929400015576,0.0001899852603673546,1.9725230500928592
Communities and Crime,ridge,tree,0.75,1686059787685.847,0.018922079223294155,1976516774711.9185,685348972146.6028,0.13716519670589494,2.08861492006341,0.10527768256259147,0.000193754622014194,2.194102192618884
Communities and Crime,ridge,tree,1.0,1993263284799.495,0.018591323590276702,2129085549594.5393,1196558656699.7969,0.1361797249010291,0.0,0.09941027010558169,0.00024516407749610965,0.09966900106170211
Communities and Crime,xgboost,mi,0.25,1817231592705.5645,0.01971475819059326,2046986307349.8088,1105253422556.023,0.13993278077932397,1.4085725789377466,3.5946656559815167,0.08707169126253572,5.090897359821247
Communities and Crime,xgboost,mi,0.5,2238207207713.227,0.019355837579127042,2563758459562.0654,1069703994939.9696,0.1390126078741597,1.296554848678643,3.653047318082536,0.07663599527440962,5.026943803118774
Communities and Crime,xgboost,mi,0.75,2198425587854.384,0.01917536797295158,2638643771662.273,993104790986.7637,0.13802553477434723,1.4085725789377466,3.8788264579174574,0.07809549801633689,5.3657856690383054
Communities and Crime,xgboost,mi,1.0,2332702841301.3867,0.01914553941316513,2694086233418.846,1034242187388.2616,0.138231174733103,0.0,3.583277334558079,0.07478712779702615,3.6586178589239715
